source,target,value
Bogotá,Antonio Nariño,0
Bogotá,Barrios Unidos,5
Bogotá,Bosa,0
Bogotá,Chapinero,5
Bogotá,Ciudad Bolívar,0
Bogotá,Engativá,3
Bogotá,Fontibón,0
Bogotá,Kennedy,3
Bogotá,La Candelaria,6
Bogotá,Los Mártires,0
Bogotá,Puente Aranda,3
Bogotá,Rafael Uribe Uribe,0
Bogotá,San Cristóbal,0
Bogotá,Santa Fe,9
Bogotá,Suba,9
Bogotá,Teusaquillo,49
Bogotá,Tunjuelito,3
Bogotá,Usaquen,5
Bogotá,Usme,0

Barrios Unidos,EL ROSARIO,39
Barrios Unidos,FLORESTA,30
Barrios Unidos,LA CASTELLANA,5
Barrios Unidos,LOS ANDES,5
Barrios Unidos,PARQUE POPULAR SALITRE,6
Bosa,BOSA,11
Bosa,BOSA RECREO,5
Bosa,EL RECREO,5
Bosa,EL RETAZO,12
Bosa,ESPERANZA,11
Bosa,SAN BERNARDINO XVI,33
Bosa,VILLA DEL RIO,11
Chapinero,ANTIGUO COUNTRY,8
Chapinero,CHAPINERO CENTRAL,10
Chapinero,CHAPINERO NORTE,37
Chapinero,CHICO NORTE,11
Chapinero,LA PORCIUNCULA,13
Chapinero,QUINTA CAMACHO,11
Ciudad Bolívar,ARBORIZADORA BAJA,31
Ciudad Bolívar,BARLOVENTO,12
Ciudad Bolívar,CANDELARIA LA NUEVA,24
Ciudad Bolívar,MARIA CANO,27
Ciudad Bolívar,SIERRA MORENA,6
Engativá,JARDIN BOTANICO,16
Engativá,JARDÍN BOTÁNICO,68
Fontibón,AEROPUERTO EL DORADO,5
Fontibón,CIUDAD SALITRE,10
Fontibón,CIUDAD SALITRE OCCIDENTAL,16
Fontibón,EL PORVENIR,9
Fontibón,FONTIBON,5
Fontibón,LA ESPERANZA NORTE,8
Fontibón,LA FELICIDAD,18
Fontibón,TERMINAL DE TRANSPORTES,20
Kennedy,CIUDAD KENNEDY NORTE,6
Kennedy,HIPODROMO DE TECHO II,9
Kennedy,HIPOTECHO OCCIDENTAL,74
La Candelaria,CENTRO ADMINISTRATIVO,59
La Candelaria,GIRARDOT,20
La Candelaria,LA CATEDRAL,10
Puente Aranda,CENTRO NARIÑO,5
Puente Aranda,CORFERIAS,11
Puente Aranda,INDUSTRIAL CENTENARIO,40
Puente Aranda,LA FLORIDA OCCIDENTAL,10
Puente Aranda,MILENTA,5
Puente Aranda,QUINTA PAREDES,13
Rafael Uribe Uribe,OLAYA,90
San Cristóbal,20 DE JULIO,27
San Cristóbal,GRANADA SUR,53
San Cristóbal,LA COLMENTA,7
San Cristóbal,SAN BLAS,14
Santa Fe,GIRARDOT,6
Santa Fe,LAS NIEVES,39
Santa Fe,PARQUE NACIONAL,20
Santa Fe,SAGRADO CORAZON,19
Santa Fe,SAN DIEGO,14
Suba,CASA BLANCA,10
Suba,MAZUREN,8
Suba,SAN JOSE V SECTOR,57
Teusaquillo,CAMPIN,31
Teusaquillo,CAMPO EUCARÍSTICO,41
Teusaquillo,CENTRO NARIÑO,6
Tunjuelito,PARQUE EL TUNAL,95
Usaquen,A.S.D.,23
Usaquen,PARQUE DEPORTIVO,5
Usaquen,SANTA ANA,6
Usaquen,SANTA BIBIANA,6
Usaquen,TORCA,30
Usaquen,VERBENAL,7
Usme,AURORA,15
Usme,LA AURORA,25
Usme,LA FISCALA,34
Usme,SANTA MARTA,8
Usme,USME PUEBLO,17
