BARRIOS UNIDOS,20,1
EL ROSARIO,39,1
FLORESTA,30,1
LA CASTELLANA,5,1
LOS ANDES,5,1
PARQUE POPULAR SALITRE,6,1
BOSA,20,2
BOSA,11,2
BOSA RECREO,5,2
EL RECREO,5,2
EL RETAZO,12,2
ESPERANZA,11,2
SAN BERNARDINO XVI,33,2
VILLA DEL RIO,11,2
CHAPINERO,20,3
ANTIGUO COUNTRY,8,3
CHAPINERO CENTRAL,10,3
CHAPINERO NORTE,37,3
CHICO NORTE,11,3
LA PORCIUNCULA,13,3
QUINTA CAMACHO,11,3
CIUDAD BOLIVAR,20,4
ARBORIZADORA BAJA,31,4
BARLOVENTO,12,4
CANDELARIA LA NUEVA,24,4
MARIA CANO,27,4
SIERRA MORENA,6,4
ENGATIVÁ,20,5
JARDIN BOTANICO,16,5
JARDÍN BOTÁNICO,68,5
FONTIBÓN,20,6
AEROPUERTO EL DORADO,5,6
CIUDAD SALITRE,10,6
CIUDAD SALITRE OCCIDENTAL,16,6
EL PORVENIR,9,6
FONTIBON,5,6
LA ESPERANZA NORTE,8,6
LA FELICIDAD,18,6
TERMINAL DE TRANSPORTES,20,6
KENNEDY,20,7
CIUDAD KENNEDY NORTE,6,7
HIPODROMO DE TECHO II,9,7
HIPOTECHO OCCIDENTAL,74,7
LA CANDELARIA,20,8
CENTRO ADMINISTRATIVO,59,8
GIRARDOT,20,8
LA CATEDRAL,10,8
PUENTE ARANDA,20,9
CENTRO NARIÑO,5,9
CORFERIAS,11,9
INDUSTRIAL CENTENARIO,40,9
LA FLORIDA OCCIDENTAL,10,9
MILENTA,5,9
QUINTA PAREDES,13,9
RAFAEL URIBE URIBE,20,10
OLAYA,90,10
SAN CRISTOBAL,20,11
20 DE JULIO,27,11
GRANADA SUR,53,11
LA COLMENTA,7,11
SAN BLAS,14,11
SANTA FE,20,12
GIRARDOT,6,12
LAS NIEVES,39,12
PARQUE NACIONAL,20,12
SAGRADO CORAZON,19,12
SAN DIEGO,14,12
SUBA,20,13
CASA BLANCA,10,13
MAZUREN,8,13
SAN JOSE V SECTOR,57,13
TEUSAQUILLO,20,14
CAMPIN,31,14
CAMPO EUCARÍSTICO,41,14
CENTRO NARIÑO,6,14
TUNJUELITO,20,15
PARQUE EL TUNAL,95,15
USAQUEN,20,16
A.S.D.,23,16
PARQUE DEPORTIVO,5,16
SANTA ANA,6,16
SANTA BIBIANA,6,16
TORCA,30,16
VERBENAL,7,16
USME,20,17
AURORA,15
LA AURORA,25,15
LA FISCALA,34,15
SANTA MARTA,8,15
USME PUEBLO,17,15
